,Idade,Sexo,Dependentes,Nivel_educacional,Estado_civil,Renda,limite_do_cartao
2254,27,1,0,5,2,2,3178.0
2255,37,0,1,3,1,1,3003.0
2256,34,0,1,7,3,6,2318.0
2257,34,1,0,5,3,2,2638.0
2258,35,0,1,2,3,1,2004.0
2259,55,0,2,6,3,1,2414.0
2260,60,0,0,7,3,1,1438.3
2261,56,1,2,5,3,3,2043.0
2262,52,1,2,3,2,4,34516.0
2263,45,0,4,2,3,2,3111.0
2264,56,1,1,5,3,5,2585.0
2265,26,1,0,5,2,1,2469.0
2266,30,1,1,1,2,1,8744.0
2267,34,1,3,3,3,4,4185.0
2268,39,1,3,2,3,3,4759.0
2269,36,1,3,5,2,5,24457.0
2270,32,1,3,1,2,5,14244.0
2271,48,1,4,7,2,4,6572.0
2272,50,0,2,2,3,6,23381.0
2273,39,0,2,2,3,1,3471.0
2274,61,0,0,5,3,1,2250.0
2275,65,0,1,1,3,6,15965.0
2276,45,0,1,3,4,1,9433.0
2277,34,1,3,2,4,5,9180.0
2278,37,1,3,5,3,2,8818.0
2279,44,0,3,5,2,1,4066.0
2280,56,1,1,2,3,4,9031.0
2281,36,1,4,1,2,2,9887.0
2282,65,0,0,5,3,1,4161.0
2283,26,1,0,5,2,1,2740.0
2284,26,0,0,3,2,6,6152.0
2285,34,1,3,2,3,3,8167.0
2286,51,1,2,4,3,5,23742.0
2287,57,1,3,4,1,3,16791.0
2288,30,1,0,5,4,4,26783.0
2289,35,1,1,6,3,4,25516.0
2290,32,1,0,5,3,2,4815.0
2291,62,1,1,5,3,6,3198.0
2292,32,1,1,2,3,1,2218.0
2293,53,1,3,3,3,4,23462.0
2294,55,1,3,4,3,3,2252.0
2295,26,0,1,1,2,1,2557.0
2296,35,0,0,5,2,1,2300.0
2297,31,0,0,5,3,1,3540.0
2298,53,1,3,1,2,3,22938.0
2299,45,1,2,5,3,2,13129.0
2300,39,1,3,1,2,4,34516.0
2301,61,0,0,3,3,1,3396.0
2302,31,0,0,2,2,1,4712.0
2303,37,1,2,5,2,3,7638.0
2304,41,1,3,6,3,3,2624.0
2305,58,1,3,5,3,5,17934.0
2306,45,1,5,5,3,2,15198.0
2307,57,0,4,3,3,1,3191.0
2308,35,1,1,1,2,3,6053.0
2309,39,1,2,1,3,2,5510.0
2310,55,1,3,7,3,5,12875.0
2311,41,0,2,3,3,2,2602.0
2312,55,0,0,2,3,1,2041.0
2313,52,0,2,5,3,1,2548.0
2314,57,1,2,5,3,5,4698.0
2315,40,0,3,3,1,1,2222.0
2316,47,1,4,3,3,4,8217.0
2317,42,0,4,2,2,1,10091.0
2318,39,1,3,5,2,4,19074.0
2319,39,1,4,5,2,3,34516.0
2320,36,1,3,5,3,5,12852.0
2321,36,1,2,2,3,3,12763.0
2322,29,1,0,5,3,1,2827.0
2323,56,0,2,2,3,6,8242.0
2324,37,0,4,5,3,1,1825.0
2325,61,1,0,6,3,1,1438.3
2326,36,1,3,3,3,3,5497.0
2327,51,0,1,5,3,2,6778.0
2328,46,1,3,5,3,3,4267.0
2329,31,0,0,3,3,1,3273.0
2330,33,1,2,7,2,2,9371.0
2331,50,0,3,3,2,1,1438.3
2332,57,0,3,3,2,6,8389.0
2333,65,1,0,7,2,6,28410.0
2334,48,1,2,3,3,2,6168.0
2335,57,0,3,1,2,6,2111.0
2336,63,0,1,1,3,2,3141.0
2337,50,0,2,5,4,2,8307.0
2338,39,1,3,5,3,4,30753.0
2339,39,1,2,4,3,3,2731.0
2340,39,0,4,1,3,1,2890.0
2341,52,1,1,1,2,5,34516.0
2342,37,1,1,5,3,4,8058.0
2343,50,0,2,2,3,6,5660.0
2344,59,1,0,1,3,3,4230.0
2345,38,1,2,5,1,2,9515.0
2346,65,0,0,3,2,2,10962.0
2347,57,1,1,1,3,5,23848.0
2348,65,1,0,2,3,6,10144.0
2349,38,0,4,5,3,2,2997.0
2350,41,1,2,4,2,4,2647.0
2351,55,0,2,5,3,1,4580.0
2352,28,1,0,6,3,6,2608.0
2353,31,1,2,1,2,4,34516.0
2354,39,0,2,1,3,1,3156.0
2355,44,0,3,5,3,6,24936.0
2356,55,1,3,4,3,4,26101.0
2357,57,1,3,4,3,4,14270.0
2358,28,1,0,3,3,6,25618.0
2359,35,0,2,5,3,1,3230.0
2360,46,0,4,4,3,1,8881.0
2361,65,0,1,2,2,6,11037.0
2362,50,0,2,2,3,6,16763.0
2363,31,1,0,2,4,2,2621.0
2364,49,1,2,1,2,4,4939.0
2365,50,0,3,4,2,1,4419.0
2366,44,0,4,3,4,1,9235.0
2367,63,0,1,3,3,1,3055.0
2368,41,1,1,5,4,4,19412.0
2369,56,1,1,1,3,4,12786.0
2370,55,1,1,5,3,3,4666.0
2371,48,0,4,4,2,1,4894.0
2372,35,1,2,3,2,5,27389.0
2373,30,0,0,6,2,1,2132.0
2374,37,1,3,3,2,4,6590.0
2375,53,0,2,5,3,1,3176.0
2376,37,1,1,5,2,3,4288.0
2377,65,0,0,2,2,6,20130.0
2378,48,1,2,7,2,1,5945.0
2379,37,1,1,5,3,2,3350.0
2380,35,1,1,3,3,3,4008.0
2381,35,0,3,5,2,1,5780.0
2382,49,0,2,3,1,2,2497.0
2383,26,0,0,3,2,6,10286.0
2384,58,1,1,1,3,3,2347.0
2385,29,0,2,2,2,6,23125.0
2386,58,0,2,1,3,1,3034.0
2387,33,1,2,4,2,4,7081.0
2388,36,1,2,5,3,2,6824.0
2389,47,0,3,7,3,1,1438.3
2390,41,1,2,5,3,1,2683.0
2391,46,1,4,5,2,3,12280.0
2392,58,1,4,5,3,3,14607.0
2393,53,0,1,7,2,1,2267.0
2394,54,0,3,1,3,1,2556.0
2395,39,0,1,2,4,6,12512.0
2396,49,1,2,5,3,4,11332.0
2397,35,0,3,3,3,1,3073.0
2398,47,1,3,4,3,5,34516.0
2399,38,1,3,5,3,3,5323.0
2400,56,1,1,5,3,4,9078.0
2401,56,1,2,3,3,5,27029.0
2402,38,1,3,3,2,3,9859.0
2403,46,1,3,4,2,4,4026.0
2404,37,1,1,3,2,2,2608.0
2405,63,0,0,1,3,1,3552.0
2406,65,0,1,5,2,1,4613.0
2407,38,1,4,4,3,4,10386.0
2408,45,0,4,7,1,6,34516.0
2409,26,1,0,4,2,2,2657.0
2410,58,0,2,5,3,1,5031.0
2411,48,1,3,2,3,5,34516.0
2412,26,0,0,1,2,2,1612.0
2413,48,0,3,5,2,1,2423.0
2414,33,1,3,5,3,4,7140.0
2415,62,0,0,7,3,2,3377.0
2416,55,1,3,2,4,4,34516.0
2417,40,0,2,5,2,1,2295.0
2418,46,1,2,3,2,2,3150.0
2419,58,1,1,3,3,2,2165.0
2420,47,1,2,5,1,3,4249.0
2421,50,1,2,1,4,3,2966.0
2422,53,1,1,5,3,5,1612.0
2423,45,1,3,5,3,3,14593.0
2424,48,1,4,2,2,2,8327.0
2425,43,1,3,6,3,3,34516.0
2426,60,1,0,2,3,3,6479.0
2427,56,1,2,3,3,5,18442.0
2428,43,0,3,4,3,2,2800.0
2429,57,0,3,3,3,1,3032.0
2430,52,0,1,2,3,2,2151.0
2431,56,0,1,1,3,6,24073.0
2432,43,1,1,5,3,4,25517.0
2433,38,1,3,5,3,3,7709.0
2434,53,1,2,4,3,2,4065.0
2435,52,0,1,5,4,6,13169.0
2436,58,1,2,4,3,4,11811.0
2437,34,0,3,4,2,1,7440.0
2438,36,1,1,3,2,2,12714.0
2439,55,0,0,5,2,2,3735.0
2440,54,1,1,2,3,4,25882.0
2441,36,1,2,4,3,2,3877.0
2442,35,0,2,5,2,6,3280.0
2443,53,1,2,5,3,5,11023.0
2444,48,0,3,5,1,1,6182.0
2445,37,1,3,2,2,2,2186.0
2446,45,1,3,2,2,4,17996.0
2447,54,0,1,3,3,1,2306.0
2448,38,1,2,3,2,3,26556.0
2449,35,0,2,4,3,1,5779.0
2450,36,0,1,2,2,1,5494.0
2451,33,1,1,6,3,5,7571.0
2452,28,1,1,3,2,1,2897.0
2453,36,0,2,2,2,2,3131.0
2454,34,0,3,4,4,1,4274.0
2455,55,1,0,7,3,3,4980.0
2456,61,0,0,6,3,1,3156.0
2457,44,0,2,5,3,1,6861.0
2458,54,1,1,5,3,4,15554.0
2459,39,1,2,3,3,4,26570.0
2460,51,1,1,1,3,3,22224.0
2461,47,1,2,1,2,4,10606.0
2462,37,0,1,3,3,2,5865.0
2463,47,0,3,5,1,2,5369.0
2464,56,1,3,2,3,5,5188.0
2465,53,1,1,5,2,4,17742.0
2466,62,1,0,5,3,2,2591.0
2467,58,0,3,5,3,1,2800.0
2468,57,1,1,3,3,4,6543.0
2469,54,0,1,7,2,6,26053.0
2470,33,0,3,4,2,2,6316.0
2471,54,0,1,5,3,1,4658.0
2472,30,1,0,5,4,3,6476.0
2473,36,0,2,3,2,1,8087.0
2474,60,1,2,5,3,3,9033.0
2475,46,0,4,3,2,1,3206.0
2476,55,1,1,5,3,4,28751.0
2477,55,1,1,3,3,4,2938.0
2478,31,1,0,2,2,1,5715.0
2479,55,0,3,2,4,1,2111.0
2480,36,1,2,6,2,2,11862.0
2481,34,0,2,1,2,1,2791.0
2482,33,0,1,5,2,1,6551.0
2483,30,1,2,6,2,2,4533.0
2484,54,0,2,5,3,2,1854.0
2485,53,1,2,2,3,4,6704.0
2486,59,1,0,5,2,4,34516.0
2487,41,1,2,4,2,5,5489.0
2488,45,1,3,2,3,2,10619.0
2489,50,0,2,5,3,1,2481.0
2490,57,1,2,2,3,3,5100.0
2491,63,1,0,7,2,2,5905.0
2492,35,0,3,1,2,6,9293.0
2493,35,1,3,5,3,3,5240.0
2494,53,1,3,3,3,5,4182.0
2495,33,0,4,4,4,1,9857.0
2496,38,1,2,2,3,4,20117.0
2497,31,1,0,3,4,1,6012.0
2498,37,1,2,5,3,3,6369.0
2499,36,1,1,2,2,4,13005.0
2500,39,0,3,5,3,6,1575.0
2501,58,0,0,6,3,1,6679.0
2502,39,0,1,5,3,1,6458.0
2503,61,1,0,1,2,3,20803.0
2504,34,1,4,1,3,2,5540.0
2505,55,1,3,5,3,4,2801.0
2506,50,1,2,2,2,1,2419.0
2507,33,1,3,3,2,2,5156.0
2508,48,0,1,3,3,6,14228.0
2509,63,1,0,3,3,4,10257.0
2510,54,1,3,3,3,2,3032.0
2511,41,1,4,5,1,3,1438.3
2512,51,1,3,7,3,4,32096.0
2513,54,0,2,5,3,6,3014.0
2514,47,1,4,1,2,2,5762.0
2515,52,0,3,6,2,1,2555.0
2516,34,1,5,6,2,4,34516.0
2517,64,1,0,3,3,1,2140.0
2518,62,0,1,2,3,2,4760.0
2519,38,1,1,5,2,4,26372.0
2520,52,0,2,5,3,1,8203.0
2521,35,0,2,7,3,2,2655.0
2522,35,1,2,5,2,5,13655.0
2523,54,1,1,4,3,4,12169.0
2524,35,0,3,1,2,1,2956.0
2525,35,1,0,7,2,3,2598.0
2526,36,0,3,5,2,6,10566.0
2527,33,0,3,5,2,2,8232.0
2528,53,1,1,5,1,3,26365.0
2529,37,0,1,2,3,1,4671.0
2530,35,1,3,5,3,5,14869.0
2531,59,1,1,5,3,2,2300.0
2532,47,1,1,1,1,4,2797.0
2533,48,0,3,3,2,2,2657.0
2534,58,1,2,2,3,4,9149.0
2535,55,0,2,1,3,1,2629.0
2536,37,1,2,5,4,2,3176.0
2537,57,1,2,5,3,4,21875.0
2538,60,1,2,3,3,6,3007.0
2539,50,1,1,4,3,3,17404.0
2540,56,1,2,3,3,3,2863.0
2541,48,1,3,5,3,3,34516.0
2542,40,1,4,5,2,3,13919.0
2543,48,1,3,5,3,4,18672.0
2544,50,0,1,2,3,1,4204.0
2545,61,0,1,2,3,1,6859.0
2546,36,1,2,3,3,4,16050.0
2547,46,1,5,3,3,5,34516.0
2548,28,1,0,2,4,6,16766.0
2549,49,1,5,1,2,4,20895.0
2550,44,0,4,3,2,2,7881.0
2551,57,1,5,3,3,4,13427.0
2552,37,1,2,2,4,4,2281.0
2553,57,1,2,2,3,4,10974.0
2554,33,1,1,1,3,3,8925.0
2555,46,1,2,3,3,3,5265.0
2556,45,0,2,3,4,6,17156.0
2557,53,1,1,1,3,4,13457.0
2558,52,1,0,1,3,3,2742.0
2559,34,1,1,1,3,3,3890.0
2560,55,1,3,5,2,4,17198.0
2561,53,1,4,3,3,5,3401.0
2562,37,1,1,1,3,3,18951.0
2563,58,0,3,1,2,2,1454.0
2564,33,1,3,3,3,5,27499.0
2565,39,1,3,5,3,5,32964.0
2566,37,0,2,3,2,1,7411.0
2567,32,1,0,2,2,2,7200.0
2568,26,0,1,2,2,6,12007.0
2569,60,0,0,5,3,1,3147.0
2570,37,1,1,5,2,4,5110.0
2571,43,0,5,5,3,1,5438.0
2572,56,1,1,2,3,4,17450.0
2573,52,1,3,4,3,4,18352.0
2574,34,1,2,2,2,5,5030.0
2575,47,1,1,1,4,4,34516.0
2576,26,1,0,5,2,1,1585.0
2577,54,1,1,3,3,5,3251.0
2578,35,0,3,2,2,1,2858.0
2579,52,1,1,1,3,4,34516.0
2580,41,1,3,5,2,3,16443.0
2581,36,0,0,2,4,1,3687.0
2582,53,0,1,5,3,1,4840.0
2583,42,1,3,1,2,5,15108.0
2584,54,1,1,4,3,3,1909.0
2585,53,1,3,6,2,4,19063.0
2586,36,1,2,3,3,4,15982.0
2587,42,1,3,5,2,3,1438.3
2588,27,0,2,4,4,1,2549.0
2589,58,1,4,5,3,3,5967.0
2590,59,1,1,2,3,2,2182.0
2591,63,0,2,5,3,1,2689.0
2592,57,1,2,2,2,4,30622.0
2593,56,0,0,3,3,6,4203.0
2594,42,0,3,1,2,1,6453.0
2595,29,0,1,3,2,1,3318.0
2596,44,1,2,1,1,3,22075.0
2597,33,1,1,4,3,2,6746.0
2598,35,1,2,5,3,4,4408.0
2599,33,0,3,5,2,1,4838.0
2600,46,1,4,5,2,4,34516.0
2601,27,1,0,1,3,2,3823.0
2602,42,1,3,4,1,5,21670.0
2603,53,1,2,5,3,3,7928.0
2604,50,1,3,5,2,5,33996.0
2605,48,0,5,4,4,2,4365.0
2606,57,1,2,3,2,3,2248.0
2607,34,0,2,5,2,1,1901.0
2608,55,1,2,4,2,4,34516.0
2609,58,1,2,5,3,5,31680.0
2610,55,0,3,5,3,1,1872.0
2611,48,0,2,2,1,1,2055.0
2612,45,1,2,4,4,2,10991.0
2613,59,1,0,2,3,1,3939.0
2614,53,0,2,6,3,2,2127.0
2615,47,1,4,2,2,4,34010.0
2616,43,0,3,1,3,6,6971.0
2617,33,0,1,6,3,1,1741.0
2618,49,0,2,6,2,6,24904.0
2619,54,0,1,5,2,1,1438.3
2620,65,1,0,3,3,1,2621.0
2621,49,0,5,5,3,2,11115.0
2622,47,1,5,1,2,4,13241.0
2623,51,1,4,3,3,4,14438.0
2624,36,1,3,3,2,4,5228.0
2625,36,1,2,5,3,3,5550.0
2626,46,1,1,5,1,2,1438.3
2627,62,0,0,1,3,1,2064.0
2628,30,0,1,4,2,1,3450.0
2629,46,1,4,5,3,5,34516.0
2630,41,1,4,2,4,4,30030.0
2631,50,1,1,2,3,2,2151.0
2632,53,1,2,1,3,4,7181.0
2633,55,1,2,2,3,5,27745.0
2634,49,0,4,3,3,1,4852.0
2635,56,1,1,5,3,3,6735.0
2636,63,1,1,5,3,2,6128.0
2637,41,1,4,3,1,4,23124.0
2638,34,1,2,1,3,2,3436.0
2639,35,1,0,1,3,5,3176.0
2640,44,1,4,4,1,5,8874.0
2641,38,0,3,5,3,1,3402.0
2642,52,1,1,5,3,4,2689.0
2643,54,1,3,2,3,1,1556.0
2644,58,0,2,3,2,2,7372.0
2645,26,1,0,4,1,1,5713.0
2646,27,0,1,6,2,1,2965.0
2647,33,1,1,1,3,4,9819.0
2648,32,1,0,2,2,3,8186.0
2649,58,0,1,4,3,1,3846.0
2650,45,0,4,2,1,1,13131.0
2651,48,0,3,3,2,1,2944.0
2652,38,1,2,6,2,3,34516.0
2653,54,1,2,3,3,4,5660.0
2654,40,0,1,5,1,1,7554.0
2655,35,0,4,2,3,1,2494.0
2656,31,1,1,4,3,4,25215.0
2657,40,0,4,4,3,2,2606.0
2658,52,1,0,5,2,4,8133.0
2659,57,0,1,3,3,1,3101.0
2660,48,1,2,5,4,4,24446.0
2661,49,1,3,3,3,4,2361.0
2662,40,1,4,3,2,2,2441.0
2663,45,1,2,5,3,2,8532.0
2664,41,1,3,1,3,4,16954.0
2665,36,1,2,5,2,4,2900.0
2666,37,0,1,5,2,1,6827.0
2667,44,0,3,4,4,2,4513.0
2668,52,1,2,4,3,5,27347.0
2669,42,0,3,3,3,1,1676.0
2670,62,0,1,5,3,1,2802.0
2671,49,1,3,6,3,4,23870.0
2672,30,0,0,5,2,1,4868.0
2673,50,1,3,2,2,3,20437.0
2674,32,1,2,3,4,3,2239.0
2675,32,0,1,5,2,1,2428.0
2676,49,1,3,6,2,3,15027.0
2677,37,1,2,7,2,5,32056.0
2678,42,0,3,4,2,6,34516.0
2679,36,1,2,1,2,4,5346.0
2680,52,0,4,1,3,1,2143.0
2681,48,1,3,2,2,3,34516.0
2682,29,1,1,1,2,3,23507.0
2683,33,0,3,6,3,2,1864.0
2684,36,1,2,4,2,3,23032.0
2685,36,0,4,3,3,1,4277.0
2686,56,0,2,3,3,2,2771.0
2687,28,1,1,3,4,1,2265.0
2688,31,0,2,2,4,1,2853.0
2689,44,0,3,2,2,1,3075.0
2690,51,0,3,3,3,6,15340.0
2691,55,1,3,5,2,2,3065.0
2692,34,0,2,7,2,1,1438.3
2693,61,0,0,5,2,2,7118.0
2694,37,1,2,2,2,3,11419.0
2695,46,1,3,5,3,2,2403.0
2696,47,0,3,2,3,1,2821.0
2697,54,1,1,5,3,2,2706.0
2698,50,0,3,1,2,1,2999.0
2699,36,0,4,3,2,1,2226.0
2700,37,1,5,5,3,3,3351.0
2701,47,1,4,4,4,2,5570.0
2702,54,1,3,1,3,4,10448.0
2703,64,0,0,3,3,1,2174.0
2704,48,1,3,5,3,4,31501.0
2705,35,1,2,2,2,3,21695.0
2706,49,1,2,1,3,4,34516.0
2707,42,1,5,1,3,3,13650.0
2708,49,1,0,2,2,4,16156.0
2709,53,0,2,5,3,1,2413.0
2710,56,1,2,3,3,4,5920.0
2711,41,1,3,4,2,3,5841.0
2712,37,1,3,3,2,3,8418.0
2713,30,1,0,3,3,1,2490.0
2714,45,1,3,6,3,4,20640.0
2715,54,1,1,3,3,3,9453.0
2716,46,1,2,5,3,3,7949.0
2717,36,0,4,4,2,1,2758.0
2718,48,1,2,7,2,5,20148.0
2719,59,0,0,7,2,1,1438.3
2720,60,1,1,2,2,4,26566.0
2721,44,1,5,5,2,3,13477.0
2722,65,1,0,4,4,1,9706.0
2723,46,0,3,5,2,2,7457.0
2724,48,1,4,5,3,4,34516.0
2725,53,1,3,3,3,5,19081.0
2726,53,0,3,2,3,6,2447.0
2727,41,1,2,3,2,4,28830.0
2728,37,0,4,3,4,2,2563.0
2729,29,0,0,3,2,1,5240.0
2730,49,0,2,7,3,1,3397.0
2731,47,1,3,7,2,1,1842.0
2732,53,0,1,1,3,1,2383.0
2733,33,1,2,5,4,3,20791.0
2734,34,1,1,5,1,3,19900.0
2735,28,0,0,5,2,6,32024.0
2736,36,0,3,5,2,2,3701.0
2737,30,0,2,5,2,1,4199.0
2738,34,1,3,3,2,2,4353.0
2739,38,0,4,4,3,2,4913.0
2740,39,0,4,6,3,1,5454.0
2741,32,0,0,5,3,6,2172.0
2742,36,1,2,7,2,2,2845.0
2743,37,0,3,3,2,6,18570.0
2744,45,1,4,2,3,3,25907.0
2745,38,0,3,2,2,1,2206.0
2746,31,1,0,5,2,2,12050.0
2747,65,1,0,3,1,1,2107.0
2748,63,0,0,5,3,1,2107.0
2749,65,1,1,5,3,1,3539.0
2750,43,0,3,4,3,6,27175.0
2751,51,1,1,5,3,2,17905.0
2752,37,1,3,5,3,3,4940.0
2753,55,0,1,5,3,6,3161.0
2754,27,1,0,2,2,3,2464.0
2755,34,0,0,3,3,2,3203.0
2756,32,0,1,4,4,1,1835.0
2757,49,0,5,2,2,1,1993.0
2758,39,1,2,1,3,4,34516.0
2759,27,1,0,6,2,6,7130.0
2760,30,1,1,2,4,6,12539.0
2761,39,1,4,3,3,4,8208.0
2762,42,1,2,7,3,4,26222.0
2763,55,1,4,4,4,4,34173.0
2764,57,0,2,5,3,2,3377.0
2765,53,1,2,5,3,5,5882.0
2766,51,1,0,5,3,4,7158.0
2767,47,1,3,5,3,1,5833.0
2768,26,0,0,3,2,2,4152.0
2769,37,1,2,3,2,2,11699.0
2770,45,0,2,2,2,2,4505.0
2771,55,1,2,2,2,3,7667.0
2772,37,1,4,5,2,5,34516.0
2773,36,0,3,5,2,1,2937.0
2774,36,0,1,3,2,1,5257.0
2775,39,1,2,3,2,3,10331.0
2776,47,1,4,2,3,3,17557.0
2777,56,0,2,5,3,1,4366.0
2778,56,0,4,2,2,6,8037.0
2779,38,1,2,1,3,1,8740.0
2780,49,1,3,5,2,5,8514.0
2781,36,0,4,2,2,1,2002.0
2782,51,0,0,3,3,1,3132.0
2783,26,0,0,4,3,2,2010.0
2784,34,1,2,5,3,4,7567.0
2785,56,1,2,3,2,2,2381.0
2786,43,1,2,5,3,5,34516.0
2787,47,0,3,2,2,6,16411.0
2788,42,0,4,3,2,1,1438.3
2789,38,1,2,4,3,4,3735.0
2790,55,1,2,6,2,3,22127.0
2791,28,0,0,4,3,6,5685.0
2792,62,1,0,2,2,2,7348.0
2793,52,1,2,7,3,5,11188.0
2794,44,1,3,1,2,5,3650.0
2795,29,0,0,6,2,1,5076.0
2796,48,1,4,7,1,3,32658.0
2797,43,1,3,2,3,4,28634.0
2798,49,0,2,6,2,1,3414.0
2799,43,1,3,3,3,4,12315.0
2800,41,0,2,2,3,2,2690.0
2801,43,1,3,5,2,4,12165.0
2802,51,0,3,5,2,1,1792.0
2803,37,1,1,7,2,4,19300.0
2804,37,1,2,4,4,2,8120.0
2805,49,1,5,3,3,4,2292.0
2806,36,1,3,2,3,4,21434.0
2807,50,0,2,5,1,1,3424.0
2808,64,1,0,1,3,1,2787.0
2809,36,0,3,4,2,6,8696.0
2810,45,1,3,3,3,5,32446.0
2811,41,1,2,5,3,4,9133.0
2812,47,1,3,5,2,4,5116.0
2813,39,1,2,6,3,4,18974.0
2814,51,1,4,2,2,5,12101.0
2815,55,0,1,3,2,2,5379.0
2816,57,1,3,5,2,5,32676.0
2817,36,1,4,7,4,5,34516.0
2818,35,1,2,1,3,5,15202.0
2819,38,0,2,1,2,1,2222.0
2820,39,0,2,5,2,2,5858.0
2821,65,0,0,5,3,2,2692.0
2822,51,0,2,2,3,1,7165.0
2823,50,0,3,3,3,1,1438.3
2824,38,1,2,5,2,3,26988.0
2825,36,0,1,1,2,1,2517.0
2826,41,1,3,2,3,2,11091.0
2827,40,0,4,5,2,1,10745.0
2828,40,0,2,7,3,6,34516.0
2829,26,1,1,1,2,1,2590.0
2830,46,0,4,2,2,1,2722.0
2831,49,0,1,5,3,1,8228.0
2832,38,1,2,1,4,4,11777.0
2833,49,1,4,5,3,4,34516.0
2834,38,1,3,5,4,4,14821.0
2835,36,1,1,1,2,1,1438.3
2836,34,0,2,1,2,1,6131.0
2837,52,1,5,5,2,4,2047.0
2838,40,1,3,5,2,4,22380.0
2839,36,1,3,2,3,4,12893.0
2840,53,1,3,3,2,1,3351.0
2841,40,0,2,1,3,1,5093.0
2842,54,1,1,5,3,2,1438.3
2843,34,1,4,4,2,3,2165.0
2844,62,0,1,1,2,1,1927.0
2845,39,0,1,4,2,6,22125.0
2846,50,1,3,5,3,5,34516.0
2847,36,1,1,2,4,5,5260.0
2848,56,0,1,5,3,1,1438.3
2849,44,0,4,5,2,2,4333.0
2850,45,1,4,4,3,1,6637.0
2851,36,1,2,5,2,5,3174.0
2852,44,0,2,2,3,1,4396.0
2853,52,1,2,5,2,4,34516.0
2854,50,0,3,5,3,1,1438.3
2855,53,0,2,5,2,1,6853.0
2856,36,0,0,1,3,1,2570.0
2857,27,0,1,4,4,1,2166.0
2858,31,0,1,4,4,6,3647.0
2859,36,1,3,1,2,3,11684.0
2860,41,1,4,3,2,3,4475.0
2861,28,1,1,2,2,3,16604.0
2862,59,1,1,3,3,2,5446.0
2863,43,1,3,2,1,4,28700.0
2864,41,1,3,1,3,3,2888.0
2865,46,1,2,5,3,3,9451.0
2866,51,1,3,1,3,4,13933.0
2867,44,1,1,3,3,1,6130.0
2868,40,1,3,5,3,3,15008.0
2869,32,1,1,3,3,2,4583.0
2870,48,1,4,2,2,2,5268.0
2871,58,1,2,1,3,3,14976.0
2872,37,0,3,3,2,1,2282.0
2873,51,1,3,1,3,4,5130.0
2874,43,0,3,1,3,1,5702.0
2875,41,1,4,2,2,4,14480.0
2876,51,1,3,5,4,2,7570.0
2877,52,1,2,7,3,4,12878.0
2878,61,1,2,3,2,3,26218.0
2879,49,1,3,6,2,5,34516.0
2880,36,0,3,3,2,6,2804.0
2881,35,1,1,5,3,2,5801.0
2882,63,0,0,3,3,1,2271.0
2883,36,0,1,6,3,1,3107.0
2884,33,0,4,5,2,1,2001.0
2885,33,1,1,5,2,4,1438.3
2886,65,1,1,3,2,6,4465.0
2887,61,1,1,5,3,3,3264.0
2888,44,1,4,5,1,4,26856.0
2889,38,1,1,7,2,4,34516.0
2890,41,1,4,2,2,4,21756.0
2891,44,0,4,2,3,1,4726.0
2892,41,1,5,1,2,3,34516.0
2893,45,0,2,1,2,1,5596.0
2894,37,1,0,6,2,4,15326.0
2895,51,1,1,1,2,4,11373.0
2896,65,1,0,2,2,1,2644.0
2897,37,0,1,5,2,2,2673.0
2898,54,1,4,1,3,3,7477.0
2899,46,1,4,5,3,4,16227.0
2900,41,1,2,1,2,4,19110.0
2901,49,1,2,1,2,2,2993.0
2902,51,1,2,5,3,4,3290.0
2903,50,0,3,3,2,1,11176.0
2904,48,0,4,3,3,6,21416.0
2905,53,1,2,5,3,4,2492.0
2906,54,1,2,6,2,3,14265.0
2907,46,0,4,1,2,2,16985.0
2908,47,0,4,3,2,1,7469.0
2909,52,0,4,5,3,1,4592.0
2910,43,0,4,5,2,1,4341.0
2911,41,1,4,2,4,4,34516.0
2912,34,1,3,6,1,3,27710.0
2913,33,0,1,4,2,1,13431.0
2914,49,1,1,3,1,3,2645.0
2915,44,1,3,7,2,5,14028.0
2916,36,1,1,2,4,4,34516.0
2917,37,1,3,3,2,4,5699.0
2918,46,1,3,1,4,5,16284.0
2919,65,1,0,2,2,1,3226.0
2920,52,1,2,4,3,4,2803.0
2921,50,1,1,2,3,5,34516.0
2922,59,1,1,2,2,1,2192.0
2923,37,0,3,1,2,6,8318.0
2924,40,1,3,5,1,3,6391.0
2925,40,0,3,3,3,1,4736.0
2926,59,1,1,7,2,3,9944.0
2927,52,0,3,4,3,2,4717.0
2928,43,0,4,1,1,6,12778.0
2929,48,1,3,5,3,3,16920.0
2930,45,0,2,5,1,1,3240.0
2931,30,0,0,5,4,1,4704.0
2932,41,0,5,3,2,2,14987.0
2933,51,1,1,1,2,4,3554.0
2934,46,1,3,5,3,5,9227.0
2935,50,1,1,1,3,5,7522.0
2936,31,0,0,4,3,1,1677.0
2937,48,1,1,3,2,3,2319.0
2938,39,0,1,1,3,1,2722.0
2939,50,0,2,1,3,1,2046.0
2940,47,1,4,1,2,4,34516.0
2941,53,1,3,3,2,4,18531.0
2942,45,1,4,5,3,2,4112.0
2943,46,1,4,5,2,5,34516.0
2944,34,1,2,5,2,4,34516.0
2945,39,1,1,2,3,1,4683.0
2946,62,1,0,1,3,2,1438.3
2947,53,0,3,2,3,1,4224.0
2948,51,1,3,5,3,3,7133.0
2949,34,0,1,3,2,6,10253.0
2950,44,0,2,7,2,2,4210.0
